SCINAME,O,U,F,M,E,S,N,W,H,D,Q
Polyplectron schleiermacheri,0,0,0,0,0,1,0,0,0,0,0
Pomatorhinus ferruginosus,0,0,0,0,0,0,0,0,1,0,0
Pomatorhinus horsfieldii,0,0,0,0,0,1,0,0,0,0,0
Pomatorhinus melanurus,0,0,0,0,0,1,0,0,0,0,0
Pomatorhinus montanus,0,0,0,0,0,1,0,0,0,0,0
Pomatorhinus musicus,0,0,0,0,0,1,0,0,0,0,0
Poodytes gramineus,1,0,0,0,0,0,0,0,0,0,0
Poodytes punctatus,1,0,0,0,0,0,0,0,0,0,0
Prunella koslowi,0,0,0,0,0,0,1,0,0,0,0
Prunella ocularis,0,0,0,0,0,0,0,1,0,0,0
Psaltriparus minimus,0,0,0,1,0,0,0,0,0,0,0
Pseudonestor xanthophrys,0,0,0,1,0,0,0,0,0,0,0
Psittiparus bakeri,0,0,0,0,0,1,0,0,0,0,0
Psittiparus ruficeps,0,0,0,0,0,0,0,0,1,0,0
Pternistis adspersus,0,0,1,0,0,0,0,0,0,0,0
Pternistis afer,0,0,1,0,0,0,0,0,0,0,0
Pternistis ahantensis,0,0,1,0,0,0,0,0,0,0,0
Pternistis bicalcaratus,0,0,1,0,0,0,0,0,0,0,0
Pternistis camerunensis,0,0,1,0,0,0,0,0,0,0,0
Pternistis capensis,0,0,1,0,0,0,0,0,0,0,0
Pternistis castaneicollis,0,0,1,0,0,0,0,0,0,0,0
Pternistis clappertoni,0,0,1,0,0,0,0,0,0,0,0
Pternistis erckelii,0,0,1,0,0,0,0,0,0,0,0
Pternistis griseostriatus,0,0,1,0,0,0,0,0,0,0,0
Pternistis hartlaubi,0,0,1,0,0,0,0,0,0,0,0
Pternistis harwoodi,0,0,1,0,0,0,0,0,0,0,0
Pternistis hildebrandti,0,0,1,0,0,0,0,0,0,0,0
Pternistis icterorhynchus,0,0,1,0,0,0,0,0,0,0,0
Pternistis jacksoni,0,0,1,0,0,0,0,0,0,0,0
Pternistis leucoscepus,0,0,1,0,0,0,0,0,0,0,0
Pternistis natalensis,0,0,1,0,0,0,0,0,0,0,0
Pternistis nobilis,0,0,1,0,0,0,0,0,0,0,0
Pternistis ochropectus,0,0,1,0,0,0,0,0,0,0,0
Pternistis rufopictus,0,0,1,0,0,0,0,0,0,0,0
Pternistis squamatus,0,0,1,0,0,0,0,0,0,0,0
Pternistis swainsonii,0,0,1,0,0,0,0,0,0,0,0
Pternistis swierstrai,0,0,1,0,0,0,0,0,0,0,0
Ptilocichla falcata,0,0,0,0,0,1,0,0,0,0,0
Ptilocichla leucogrammica,0,0,0,0,0,1,0,0,0,0,0
Ptilocichla mindanensis,0,0,0,0,0,1,0,0,0,0,0
Ptilostomus afer,0,0,1,0,0,0,0,0,0,0,0
Pycnonotus barbatus,0,0,1,0,0,0,0,0,0,0,0
Pycnonotus bimaculatus,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus blanfordi,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus brunneus,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus capensis,0,0,1,0,0,0,0,0,0,0,0
Pycnonotus cinereifrons,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus finlaysoni,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus flavescens,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus goiavier,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus leucogenys,0,0,0,0,0,0,0,0,1,0,0
Pycnonotus leucotis,0,0,0,0,0,0,0,1,0,0,0
Pycnonotus luteolus,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus nigricans,0,0,1,0,0,0,0,0,0,0,0
Pycnonotus plumosus,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus simplex,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus taivanus,0,0,0,0,0,1,0,0,0,0,0
Pycnonotus xanthopygos,0,0,0,0,0,0,0,1,0,0,0
Pycnonotus zeylanicus,0,0,0,0,0,1,0,0,0,0,0
Pyrrhula aurantiaca,0,0,0,0,0,0,0,0,1,0,0
Pyrrhula erythrocephala,0,0,0,0,0,0,0,0,1,0,0
Pyrrhula leucogenis,0,0,0,0,0,1,0,0,0,0,0
Rheinardia ocellata,0,0,0,0,0,1,0,0,0,0,0
Rhizothera dulitensis,0,0,0,0,0,1,0,0,0,0,0
Rhopophilus albosuperciliaris,0,0,0,0,0,0,1,0,0,0,0
Ridgwayia pinicola,0,0,0,1,0,0,0,0,0,0,0
Robsonius thompsoni,0,0,0,0,0,1,0,0,0,0,0
Rollulus rouloul,0,0,0,0,0,1,0,0,0,0,0
Salpornis salvadori,0,0,1,0,0,0,0,0,0,0,0
Sasia abnormis,0,0,0,0,0,1,0,0,0,0,0
Schoenicola platyurus,0,0,0,0,0,1,0,0,0,0,0
Schoeniparus rufogularis,0,0,0,0,0,1,0,0,0,0,0
Scleroptila afra,0,0,1,0,0,0,0,0,0,0,0
Scleroptila finschi,0,0,1,0,0,0,0,0,0,0,0
Scleroptila gutturalis,0,0,1,0,0,0,0,0,0,0,0
Scleroptila levaillantii,0,0,1,0,0,0,0,0,0,0,0
Scleroptila psilolaema,0,0,1,0,0,0,0,0,0,0,0
Scleroptila shelleyi,0,0,1,0,0,0,0,0,0,0,0
Scleroptila streptophora,0,0,1,0,0,0,0,0,0,0,0
Serinus alario,0,0,1,0,0,0,0,0,0,0,0
Serinus canicollis,0,0,1,0,0,0,0,0,0,0,0
Serinus flavivertex,0,0,1,0,0,0,0,0,0,0,0
Setornis criniger,0,0,0,0,0,1,0,0,0,0,0
Sheppardia aequatorialis,0,0,1,0,0,0,0,0,0,0,0
Sheppardia aurantiithorax,0,0,1,0,0,0,0,0,0,0,0
Sheppardia bocagei,0,0,1,0,0,0,0,0,0,0,0
Sheppardia cyornithopsis,0,0,1,0,0,0,0,0,0,0,0
Sheppardia gabela,0,0,1,0,0,0,0,0,0,0,0
Sheppardia gunningi,0,0,1,0,0,0,0,0,0,0,0
Sheppardia lowei,0,0,1,0,0,0,0,0,0,0,0
Sheppardia montana,0,0,1,0,0,0,0,0,0,0,0
Sheppardia sharpei,0,0,1,0,0,0,0,0,0,0,0
Sialia currucoides,0,0,0,1,0,0,0,0,0,0,0
Sialia mexicana,0,0,0,1,0,0,0,0,0,0,0
Sialia sialis,0,0,0,1,0,0,0,0,0,0,0
Sinosuthora zappeyi,0,0,0,0,0,0,0,0,0,1,0
Sitta arctica,0,1,0,0,0,0,0,0,0,0,0
Sitta azurea,0,0,0,0,0,1,0,0,0,0,0
Sitta canadensis,0,0,0,1,0,0,0,0,0,0,0
Sitta carolinensis,0,0,0,1,0,0,0,0,0,0,0
Sitta castanea,0,0,0,0,0,1,0,0,0,0,0
Sitta ledanti,0,0,1,0,0,0,0,0,0,0,0
Sitta leucopsis,0,0,0,0,0,0,0,0,1,0,0
Sitta neglecta,0,0,0,0,0,1,0,0,0,0,0
Sitta oenochlamys,0,0,0,0,0,1,0,0,0,0,0
Sitta pusilla,0,0,0,1,0,0,0,0,0,0,0
Sitta pygmaea,0,0,0,1,0,0,0,0,0,0,0
Sitta victoriae,0,0,0,0,0,1,0,0,0,0,0
Sitta whiteheadi,0,1,0,0,0,0,0,0,0,0,0
Sittiparus semilarvatus,0,0,0,0,0,1,0,0,0,0,0
Sittiparus varius,0,0,0,0,1,0,0,0,0,0,0
Spelaeornis caudatus,0,0,0,0,0,0,0,0,1,0,0
Spelaeornis kinneari,0,0,0,0,0,1,0,0,0,0,0
Spelaeornis longicaudatus,0,0,0,0,0,1,0,0,0,0,0
Spelaeornis oatesi,0,0,0,0,0,1,0,0,0,0,0
Sphyrapicus nuchalis,0,0,0,1,0,0,0,0,0,0,0
Sphyrapicus ruber,0,0,0,1,0,0,0,0,0,0,0
Sphyrapicus thyroideus,0,0,0,1,0,0,0,0,0,0,0
Spinus atratus,0,0,0,1,0,0,0,0,0,0,0
Spinus atriceps,0,0,0,1,0,0,0,0,0,0,0
Spinus barbatus,0,0,0,1,0,0,0,0,0,0,0
Spinus crassirostris,0,0,0,1,0,0,0,0,0,0,0
Spinus cucullatus,0,0,0,1,0,0,0,0,0,0,0
Spinus dominicensis,0,0,0,1,0,0,0,0,0,0,0
Spinus lawrencei,0,0,0,1,0,0,0,0,0,0,0
Spinus magellanicus,0,0,0,1,0,0,0,0,0,0,0
Spinus notatus,0,0,0,1,0,0,0,0,0,0,0
Spinus olivaceus,0,0,0,1,0,0,0,0,0,0,0
Spinus pinus,0,0,0,1,0,0,0,0,0,0,0
Spinus psaltria,0,0,0,1,0,0,0,0,0,0,0
Spinus siemiradzkii,0,0,0,1,0,0,0,0,0,0,0
Spinus spinescens,0,0,0,1,0,0,0,0,0,0,0
Spinus spinus,0,1,0,0,0,0,0,0,0,0,0
Spinus tristis,0,0,0,1,0,0,0,0,0,0,0
Spinus xanthogastrus,0,0,0,1,0,0,0,0,0,0,0
Spinus yarrellii,0,0,0,1,0,0,0,0,0,0,0
Stachyris grammiceps,0,0,0,0,0,1,0,0,0,0,0
Stachyris humei,0,0,0,0,0,0,0,0,1,0,0
Stachyris leucotis,0,0,0,0,0,1,0,0,0,0,0
Stachyris maculata,0,0,0,0,0,1,0,0,0,0,0
Stachyris nigricollis,0,0,0,0,0,1,0,0,0,0,0
Stachyris nonggangensis,0,0,0,0,0,1,0,0,0,0,0
Stachyris poliocephala,0,0,0,0,0,1,0,0,0,0,0
Stachyris strialata,0,0,0,0,0,1,0,0,0,0,0
Stachyris thoracica,0,0,0,0,0,1,0,0,0,0,0
Stelgidillas gracilirostris,0,0,1,0,0,0,0,0,0,0,0
Stiphrornis erythrothorax,0,0,1,0,0,0,0,0,0,0,0
Stizorhina finschi,0,0,1,0,0,0,0,0,0,0,0
Stizorhina fraseri,0,0,1,0,0,0,0,0,0,0,0
Swynnertonia swynnertoni,0,0,1,0,0,0,0,0,0,0,0
Syrmaticus ellioti,0,0,0,0,0,1,0,0,0,0,0
Syrmaticus mikado,0,0,0,0,0,1,0,0,0,0,0
Syrmaticus reevesii,0,0,0,0,1,0,0,0,0,0,0
Syrmaticus soemmerringii,0,0,0,0,1,0,0,0,0,0,0
Tarsiger hyperythrus,0,0,0,0,0,0,0,0,1,0,0
Tarsiger johnstoniae,0,0,0,0,0,1,0,0,0,0,0
Temnurus temnurus,0,0,0,0,0,1,0,0,0,0,0
Tesia everetti,0,0,0,0,0,1,0,0,0,0,0
Tesia superciliaris,0,0,0,0,0,1,0,0,0,0,0
Tetrao urogallus,0,1,0,0,0,0,0,0,0,0,0
Tetraogallus caspius,0,0,0,0,0,0,0,1,0,0,0
Tetraophasis obscurus,0,0,0,0,0,0,0,0,0,1,0
Thamnolaea cinnamomeiventris,0,0,1,0,0,0,0,0,0,0,0
Thescelocichla leucopleura,0,0,1,0,0,0,0,0,0,0,0
Tragopan caboti,0,0,0,0,0,1,0,0,0,0,0
Tragopan satyra,0,0,0,0,0,0,0,0,1,0,0
Tricholestes criniger,0,0,0,0,0,1,0,0,0,0,0
Trochalopteron austeni,0,0,0,0,0,1,0,0,0,0,0
Trochalopteron erythrocephalum,0,0,0,0,0,0,0,0,1,0,0
Trochalopteron imbricatum,0,0,0,0,0,0,0,0,1,0,0
Trochalopteron melanostigma,0,0,0,0,0,1,0,0,0,0,0
Trochalopteron milnei,0,0,0,0,0,1,0,0,0,0,0
Trochalopteron morrisonianum,0,0,0,0,0,1,0,0,0,0,0
Trochalopteron peninsulae,0,0,0,0,0,1,0,0,0,0,0
Trochalopteron variegatum,0,0,0,0,0,0,0,0,1,0,0
Trochalopteron virgatum,0,0,0,0,0,1,0,0,0,0,0
Trochalopteron yersini,0,0,0,0,0,1,0,0,0,0,0
Turdoides bicolor,0,0,1,0,0,0,0,0,0,0,0
Turdoides gymnogenys,0,0,1,0,0,0,0,0,0,0,0
Turdoides hartlaubii,0,0,1,0,0,0,0,0,0,0,0
Turdoides hypoleuca,0,0,1,0,0,0,0,0,0,0,0
Turdoides leucopygia,0,0,1,0,0,0,0,0,0,0,0
Turdoides melanops,0,0,1,0,0,0,0,0,0,0,0
Turdoides plebejus,0,0,1,0,0,0,0,0,0,0,0
Turdoides reinwardtii,0,0,1,0,0,0,0,0,0,0,0
Turdoides sharpei,0,0,1,0,0,0,0,0,0,0,0
Turdoides squamulata,0,0,1,0,0,0,0,0,0,0,0
Turdoides tenebrosa,0,0,1,0,0,0,0,0,0,0,0
Turdus abyssinicus,0,0,1,0,0,0,0,0,0,0,0
Turdus albicollis,0,0,0,1,0,0,0,0,0,0,0
Turdus amaurochalinus,0,0,0,1,0,0,0,0,0,0,0
Turdus assimilis,0,0,0,1,0,0,0,0,0,0,0
Turdus aurantius,0,0,0,1,0,0,0,0,0,0,0
Turdus chiguanco,0,0,0,1,0,0,0,0,0,0,0
Turdus falcklandii,0,0,0,1,0,0,0,0,0,0,0
Turdus flavipes,0,0,0,1,0,0,0,0,0,0,0
Turdus fulviventris,0,0,0,1,0,0,0,0,0,0,0
Turdus fumigatus,0,0,0,1,0,0,0,0,0,0,0
Turdus fuscater,0,0,0,1,0,0,0,0,0,0,0
Turdus grayi,0,0,0,1,0,0,0,0,0,0,0
Turdus haplochrous,0,0,0,1,0,0,0,0,0,0,0
Turdus hauxwelli,0,0,0,1,0,0,0,0,0,0,0
Turdus helleri,0,0,1,0,0,0,0,0,0,0,0
Turdus ignobilis,0,0,0,1,0,0,0,0,0,0,0
Turdus infuscatus,0,0,0,1,0,0,0,0,0,0,0
Turdus jamaicensis,0,0,0,1,0,0,0,0,0,0,0
Turdus lawrencii,0,0,0,1,0,0,0,0,0,0,0
Turdus leucomelas,0,0,0,1,0,0,0,0,0,0,0
Turdus leucops,0,0,0,1,0,0,0,0,0,0,0
Turdus ludoviciae,0,0,1,0,0,0,0,0,0,0,0
Turdus maculirostris,0,0,0,1,0,0,0,0,0,0,0
Turdus maranonicus,0,0,0,1,0,0,0,0,0,0,0
Turdus menachensis,0,0,0,0,0,0,0,1,0,0,0
Turdus migratorius,0,0,0,1,0,0,0,0,0,0,0
Turdus nigrescens,0,0,0,1,0,0,0,0,0,0,0
Turdus nigriceps,0,0,0,1,0,0,0,0,0,0,0
Turdus nudigenis,0,0,0,1,0,0,0,0,0,0,0
Turdus obsoletus,0,0,0,1,0,0,0,0,0,0,0
Turdus olivaceus,0,0,1,0,0,0,0,0,0,0,0
Turdus olivater,0,0,0,1,0,0,0,0,0,0,0
Turdus pallidus,0,0,0,0,1,0,0,0,0,0,0
Turdus pelios,0,0,1,0,0,0,0,0,0,0,0
Turdus philomelos,0,1,0,0,0,0,0,0,0,0,0
Turdus pilaris,0,1,0,0,0,0,0,0,0,0,0
Turdus plebejus,0,0,0,1,0,0,0,0,0,0,0
Turdus plumbeus,0,0,0,1,0,0,0,0,0,0,0
Turdus reevei,0,0,0,1,0,0,0,0,0,0,0
Turdus roehli,0,0,1,0,0,0,0,0,0,0,0
Turdus rufitorques,0,0,0,1,0,0,0,0,0,0,0
Turdus rufiventris,0,0,0,1,0,0,0,0,0,0,0
Turdus rufopalliatus,0,0,0,1,0,0,0,0,0,0,0
Turdus sanchezorum,0,0,0,1,0,0,0,0,0,0,0
Turdus serranus,0,0,0,1,0,0,0,0,0,0,0
Turdus simillimus,0,0,0,0,0,1,0,0,0,0,0
Turdus smithi,0,0,1,0,0,0,0,0,0,0,0
Turdus swalesi,0,0,0,1,0,0,0,0,0,0,0
Turdus tephronotus,0,0,1,0,0,0,0,0,0,0,0
Turdus torquatus,0,1,0,0,0,0,0,0,0,0,0
Tympanuchus cupido,0,0,0,1,0,0,0,0,0,0,0
Tympanuchus pallidicinctus,0,0,0,1,0,0,0,0,0,0,0
Tympanuchus phasianellus,0,0,0,1,0,0,0,0,0,0,0
Urocissa caerulea,0,0,0,0,0,1,0,0,0,0,0
Urocissa flavirostris,0,0,0,0,0,0,0,0,1,0,0
Vauriella gularis,0,0,0,0,0,1,0,0,0,0,0
Vauriella insignis,0,0,0,0,0,1,0,0,0,0,0
Veniliornis affinis,0,0,0,1,0,0,0,0,0,0,0
Veniliornis callonotus,0,0,0,1,0,0,0,0,0,0,0
Veniliornis cassini,0,0,0,1,0,0,0,0,0,0,0
Veniliornis chocoensis,0,0,0,1,0,0,0,0,0,0,0
Veniliornis dignus,0,0,0,1,0,0,0,0,0,0,0
Veniliornis frontalis,0,0,0,1,0,0,0,0,0,0,0
Veniliornis kirkii,0,0,0,1,0,0,0,0,0,0,0
Veniliornis lignarius,0,0,0,1,0,0,0,0,0,0,0
Veniliornis mixtus,0,0,0,1,0,0,0,0,0,0,0
Veniliornis nigriceps,0,0,0,1,0,0,0,0,0,0,0
Veniliornis passerinus,0,0,0,1,0,0,0,0,0,0,0
Veniliornis sanguineus,0,0,0,1,0,0,0,0,0,0,0
Veniliornis spilogaster,0,0,0,1,0,0,0,0,0,0,0
Xenoperdix udzungwensis,0,0,1,0,0,0,0,0,0,0,0
Yuhina brunneiceps,0,0,0,0,0,1,0,0,0,0,0
Zoothera andromedae,0,0,0,0,0,1,0,0,0,0,0
Zoothera everetti,0,0,0,0,0,1,0,0,0,0,0
Zoothera heinei,1,0,0,0,0,0,0,0,0,0,0
Zoothera lunulata,1,0,0,0,0,0,0,0,0,0,0
Zoothera margaretae,1,0,0,0,0,0,0,0,0,0,0
Zoothera talaseae,1,0,0,0,0,0,0,0,0,0,0
Aegithalos sharpei,0,0,0,0,0,1,0,0,0,0,0
Aegithalos exilis,0,0,0,0,0,1,0,0,0,0,0
Calamornis heudei,0,0,0,0,1,0,0,0,0,0,0
Melanocichla calva,0,0,0,0,0,1,0,0,0,0,0
Melanocichla lugubris,0,0,0,0,0,1,0,0,0,0,0
Dumetia atriceps,0,0,0,0,0,1,0,0,0,0,0
Alcippe hueti,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus chinensis,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus nuchalis,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus treacheri,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus mitratus,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus waddelli,0,0,0,0,0,0,0,0,1,0,0
Pterorhinus koslowi,0,0,0,0,0,0,0,0,0,1,0
Pterorhinus woodi,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus poecilorhynchus,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus caerulatus,0,0,0,0,0,0,0,0,1,0,0
Pterorhinus ruficeps,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus delesserti,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus vassali,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus courtoisi,0,0,0,0,0,1,0,0,0,0,0
Pterorhinus galbanus,0,0,0,0,0,1,0,0,0,0,0
Ianthocincla bieti,0,0,0,0,0,0,0,0,0,1,0
Ianthocincla lunulata,0,0,0,0,0,0,0,0,0,1,0
Ianthocincla cineracea,0,0,0,0,0,0,0,0,1,0,0
Ianthocincla sukatschewi,0,0,0,0,0,0,0,0,0,1,0
Argya huttoni,0,0,0,0,0,0,0,1,0,0,0
Argya gularis,0,0,0,0,0,1,0,0,0,0,0
Argya longirostris,0,0,0,0,0,0,0,0,1,0,0
Argya affinis,0,0,0,0,0,1,0,0,0,0,0
Argya rufescens,0,0,0,0,0,1,0,0,0,0,0
Argya cinereifrons,0,0,0,0,0,1,0,0,0,0,0
Turdoides chapini,0,0,1,0,0,0,0,0,0,0,0
Turdoides gilberti,0,0,1,0,0,0,0,0,0,0,0
Turdoides atripennis,0,0,1,0,0,0,0,0,0,0,0
Turdoides nipalensis,0,0,0,0,0,0,0,0,1,0,0
Actinodura morrisoniana,0,0,0,0,0,1,0,0,0,0,0
Actinodura nipalensis,0,0,0,0,0,0,0,0,1,0,0
Montecincla fairbanki,0,0,0,0,0,1,0,0,0,0,0
Montecincla cachinnans,0,0,0,0,0,1,0,0,0,0,0
Pellorneum cinereiceps,0,0,0,0,0,1,0,0,0,0,0
Pellorneum malaccense,0,0,0,0,0,1,0,0,0,0,0
Pellorneum bicolor,0,0,0,0,0,1,0,0,0,0,0
Pellorneum rostratum,0,0,0,0,0,1,0,0,0,0,0
Pellorneum celebense,0,0,0,0,0,1,0,0,0,0,0
Pellorneum tickelli,0,0,0,0,0,1,0,0,0,0,0
Pellorneum pyrrogenys,0,0,0,0,0,1,0,0,0,0,0
Napothera danjoui,0,0,0,0,0,1,0,0,0,0,0
Napothera albostriata,0,0,0,0,0,1,0,0,0,0,0
Napothera malacoptila,0,0,0,0,0,0,0,0,1,0,0
Napothera pasquieri,0,0,0,0,0,1,0,0,0,0,0
Gypsophila brevicaudata,0,0,0,0,0,1,0,0,0,0,0
Gypsophila crispifrons,0,0,0,0,0,1,0,0,0,0,0
Gypsophila crassa,0,0,0,0,0,1,0,0,0,0,0
Staphida torqueola,0,0,0,0,0,1,0,0,0,0,0
Staphida everetti,0,0,0,0,0,1,0,0,0,0,0
Edolisoma admiralitatis,1,0,0,0,0,0,0,0,0,0,0
Coracina ingens,1,0,0,0,0,0,0,0,0,0,0
Aphelocoma insularis,0,0,0,1,0,0,0,0,0,0,0
Calocitta colliei,0,0,0,1,0,0,0,0,0,0,0
Calocitta formosa,0,0,0,1,0,0,0,0,0,0,0
Cyanocorax caeruleus,0,0,0,1,0,0,0,0,0,0,0
Psilorhinus morio,0,0,0,1,0,0,0,0,0,0,0
Podoces pleskei,0,0,0,0,0,0,0,1,0,0,0
Podoces panderi,0,0,0,0,0,0,0,1,0,0,0
Pica nuttalli,0,0,0,1,0,0,0,0,0,0,0
Corvus culminatus,0,0,0,0,0,1,0,0,0,0,0
Corvus minutus,0,0,0,1,0,0,0,0,0,0,0
Acanthis cabaret,0,1,0,0,0,0,0,0,0,0,0
Spinus uropygialis,0,0,0,1,0,0,0,0,0,0,0
Serinus syriacus,0,0,0,0,0,0,0,1,0,0,0
Crithagra whytii,0,0,1,0,0,0,0,0,0,0,0
Leucosticte australis,0,0,0,1,0,0,0,0,0,0,0
Carpodacus verreauxii,0,0,0,0,0,0,0,0,0,1,0
Carpodacus rodopeplus,0,0,0,0,0,0,0,0,1,0,0
Carpodacus grandis,0,0,0,0,0,0,0,0,1,0,0
Loxops mana,0,0,0,1,0,0,0,0,0,0,0
Eophona migratoria,0,0,0,0,1,0,0,0,0,0,0
Prunella fagani,0,0,0,0,0,0,0,1,0,0,0
Prunella montanella,0,1,0,0,0,0,0,0,0,0,0
Prunella himalayana,0,0,0,0,0,0,1,0,0,0,0
Cercotrichas barbata,0,0,1,0,0,0,0,0,0,0,0
Cercotrichas quadrivirgata,0,0,1,0,0,0,0,0,0,0,0
Cercotrichas signata,0,0,1,0,0,0,0,0,0,0,0
Cercotrichas leucosticta,0,0,1,0,0,0,0,0,0,0,0
Cercotrichas coryphoeus,0,0,1,0,0,0,0,0,0,0,0
Copsychus fulicatus,0,0,0,0,0,1,0,0,0,0,0
Copsychus cebuensis,0,0,0,0,0,1,0,0,0,0,0
Copsychus niger,0,0,0,0,0,1,0,0,0,0,0
Copsychus stricklandii,0,0,0,0,0,1,0,0,0,0,0
Copsychus luzoniensis,0,0,0,0,0,1,0,0,0,0,0
Copsychus pyrropygus,0,0,0,0,0,1,0,0,0,0,0
Empidornis semipartitus,0,0,1,0,0,0,0,0,0,0,0
Muscicapa caerulescens,0,0,1,0,0,0,0,0,0,0,0
Muscicapa tessmanni,0,0,1,0,0,0,0,0,0,0,0
Muscicapa olivascens,0,0,1,0,0,0,0,0,0,0,0
Myioparus griseigularis,0,0,1,0,0,0,0,0,0,0,0
Myioparus plumbeus,0,0,1,0,0,0,0,0,0,0,0
Muscicapa sodhii,0,0,0,0,0,1,0,0,0,0,0
Muscicapa griseisticta,0,0,0,0,1,0,0,0,0,0,0
Melaenornis pallidus,0,0,1,0,0,0,0,0,0,0,0
Muscicapa boehmi,0,0,1,0,0,0,0,0,0,0,0
Muscicapa infuscata,0,0,1,0,0,0,0,0,0,0,0
Muscicapa ussheri,0,0,1,0,0,0,0,0,0,0,0
Muscicapa comitata,0,0,1,0,0,0,0,0,0,0,0
Cossypha isabellae,0,0,1,0,0,0,0,0,0,0,0
Cossypha anomala,0,0,1,0,0,0,0,0,0,0,0
Cossypha archeri,0,0,1,0,0,0,0,0,0,0,0
Cossypha caffra,0,0,1,0,0,0,0,0,0,0,0
Cossypha humeralis,0,0,1,0,0,0,0,0,0,0,0
Cossypha polioptera,0,0,1,0,0,0,0,0,0,0,0
Larvivora akahige,0,0,0,0,1,0,0,0,0,0,0
Larvivora ruficeps,0,0,0,0,0,0,0,0,0,1,0
Larvivora sibilans,0,1,0,0,0,0,0,0,0,0,0
Luscinia svecica,0,1,0,0,0,0,0,0,0,0,0
Luscinia luscinia,0,1,0,0,0,0,0,0,0,0,0
Calliope obscura,0,0,0,0,1,0,0,0,0,0,0
Enicurus borneensis,0,0,0,0,0,1,0,0,0,0,0
Oenanthe picata,0,0,0,0,0,0,0,1,0,0,0
Oenanthe chrysopygia,0,0,0,0,0,0,0,1,0,0,0
Oenanthe xanthoprymna,0,0,0,0,0,0,0,1,0,0,0
Oenanthe lugentoides,0,0,0,0,0,0,0,1,0,0,0
Oenanthe lugubris,0,0,1,0,0,0,0,0,0,0,0
Oenanthe heuglini,0,0,1,0,0,0,0,0,0,0,0
Oenanthe cypriaca,0,0,0,0,0,0,0,1,0,0,0
Myrmecocichla collaris,0,0,1,0,0,0,0,0,0,0,0
Saxicola rubicola,0,1,0,0,0,0,0,0,0,0,0
Saxicola sibilla,0,0,1,0,0,0,0,0,0,0,0
Saxicola insignis,0,0,0,0,0,0,1,0,0,0,0
Saxicola rubetra,0,1,0,0,0,0,0,0,0,0,0
Monticola gularis,0,0,0,0,1,0,0,0,0,0,0
Phoenicurus phoenicurus,0,1,0,0,0,0,0,0,0,0,0
Ficedula albicilla,0,1,0,0,0,0,0,0,0,0,0
Ficedula parva,0,1,0,0,0,0,0,0,0,0,0
Ficedula subrubra,0,0,0,0,0,0,0,0,1,0,0
Ficedula albicollis,0,1,0,0,0,0,0,0,0,0,0
Ficedula hypoleuca,0,1,0,0,0,0,0,0,0,0,0
Ficedula speculigera,0,0,1,0,0,0,0,0,0,0,0
Ficedula ruficauda,0,0,0,0,0,0,0,0,1,0,0
Ficedula elisae,0,0,0,0,1,0,0,0,0,0,0
Ficedula narcissina,0,0,0,0,1,0,0,0,0,0,0
Ficedula zanthopygia,0,0,0,0,1,0,0,0,0,0,0
Cyornis magnirostris,0,0,0,0,0,0,0,0,1,0,0
Cyanoptila cumatilis,0,0,0,0,1,0,0,0,0,0,0
Cyanoptila cyanomelana,0,0,0,0,1,0,0,0,0,0,0
Sholicola albiventris,0,0,0,0,0,1,0,0,0,0,0
Sholicola major,0,0,0,0,0,1,0,0,0,0,0
Machlolophus aplonotus,0,0,0,0,0,1,0,0,0,0,0
Tropicoperdix charltonii,0,0,0,0,0,1,0,0,0,0,0
Tropicoperdix chloropus,0,0,0,0,0,1,0,0,0,0,0
Tetrastes bonasia,0,1,0,0,0,0,0,0,0,0,0
Coturnix ypsilophorus,1,0,0,0,0,0,0,0,0,0,0
Xenoperdix obscuratus,0,0,1,0,0,0,0,0,0,0,0
Reinwardtipicus validus,0,0,0,0,0,1,0,0,0,0,0
Gecinulus rafflesii,0,0,0,0,0,1,0,0,0,0,0
Pardipicus caroli,0,0,1,0,0,0,0,0,0,0,0
Pardipicus nivosus,0,0,1,0,0,0,0,0,0,0,0
Dryocopus lineatus,0,0,0,1,0,0,0,0,0,0,0
Dryocopus schulzii,0,0,0,1,0,0,0,0,0,0,0
Dryocopus pileatus,0,0,0,1,0,0,0,0,0,0,0
Celeus galeatus,0,0,0,1,0,0,0,0,0,0,0
